title,video_id,publishedAt
【FINAL FANTASY VII REMAKE】 #7 ピーターの実況 ファイナルファンタジー VII,A-Qn5L5oT-E,2020-04-28T03:00:02.000Z
ピーターの反応 【はめふら】 4話 乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった ep 4 アニメリアクション,U_KRI7LZW4Q,2020-04-27T09:00:28.000Z
【海外の反応 アニメ】 HELLSING OVA 8話 パート 2-2 アニメリアクション,uCR3HjL5Bic,2020-04-27T08:00:30.000Z
ピーターの反応 【かぐや様は告らせたい】2期 3話 Kaguya-sama ss 2 ep 3 アニメリアクション,osNwu-aeloQ,2020-04-27T08:00:30.000Z
【FINAL FANTASY VII REMAKE】 #6 ピーターの実況 ファイナルファンタジー VII,-0IU470zQKQ,2020-04-27T03:00:00.000Z
デジタルモンスターズ？？4月27日週の投稿スケジュール！,L7XfGXHo8YU,2020-04-26T07:56:42.000Z
【海外の反応 アニメ】 ヨルムンガンド 2期 5話 Jormungand ep ss2 5 アニメリアクション,mlwh1wNEHbE,2020-04-26T03:00:12.000Z
【海外の反応 アニメ】 ロード エルメロイii 世の事件簿 4話 Lord El-Melloi ep 4 アニメリアクション,T-lZNTR2Jf0,2020-04-26T03:00:13.000Z
【海外の反応 アニメ】アインツベルン相談室 6話 アニメリアクション,aW-yfJwERas,2020-04-26T00:00:01.000Z
ピーターの反応 【八男ってそれはないでしょう】 4話 8th son ep 4 アニメリアクション,7aZbRe5eyFc,2020-04-25T06:00:02.000Z
ピーターの反応 【かくしごと】 4話 Kakushigoto ep 4 アニメリアクション,i683EKFEJPc,2020-04-25T03:00:10.000Z
【海外の反応 アニメ】 少女終末旅行 6話 Girls&#39; Last Tour ep 6 アニメリアクション,RcQTRJgcJJU,2020-04-25T00:00:06.000Z
ピーターのなんちゃって梅酒ライブ！,zdW0eLZB6Yg,2020-04-24T15:29:03.000Z
ピーターの反応 【神之塔】 3話 Tower of God ep 3 アニメリアクション,Mkkm3LSTBVA,2020-04-24T09:00:10.000Z
ピーターの反応 【BNA】 4話 アニメリアクション,dCF1GyL_-hs,2020-04-24T08:00:16.000Z
【FINAL FANTASY VII REMAKE】 #5 ピーターの実況 ファイナルファンタジー VII,v25VDFqyPak,2020-04-24T03:00:28.000Z
【海外の反応 アニメ】 夏目友人帳 10話  Natsume Book of Friends 10 アニメリアクション,cBy3f6Vga4Y,2020-04-23T09:00:15.000Z
【バイオハザード RE2】 #13 シェリーのベリー・バッド・デイ クレア実況  外人の日本語実況 【ピーター】【海外版】 Biohazard Resident Evil 2,RNibYVE28w0,2020-04-23T08:30:02.000Z
【バイオハザード RE2】 #12 変態ロンジャケおじさんが若い女性を追行 ザ・ムービー クレア実況  外人の日本語実況 【ピーター】【海外版】 Biohazard Resident Evil 2,sRcf7JV6IDw,2020-04-23T08:00:30.000Z
【FINAL FANTASY VII REMAKE】 #4 ピーターの実況 ファイナルファンタジー VII,3F5uguKuF7o,2020-04-23T03:00:00.000Z
【海外の反応 アニメ】 HELLSING OVA 8話 パート 1-2 アニメリアクション,9dCThGP0r6E,2020-04-22T09:22:45.000Z
【FINAL FANTASY VII REMAKE】 #3 ピーターの実況 ファイナルファンタジー VII,B35-o7dr8jw,2020-04-22T03:00:04.000Z
ピーターの反応 【Gleipnir】 3話 グレイプニル ep 3 アニメリアクション,-q0csIw1jiA,2020-04-21T20:00:02.000Z
【海外の反応 アニメ】アインツベルン相談室 5話 アニメリアクション,thwH08qTx-c,2020-04-21T09:14:58.000Z
"ピーターの反応 【波よ聞いてくれ】 2話 Wave, Listen to Me! ep 2 アニメリアクション",hq80kVOfK10,2020-04-21T08:00:25.000Z
【FINAL FANTASY VII REMAKE】 #2 ピーターの実況 ファイナルファンタジー VII,rrQkmdVbdsA,2020-04-21T03:00:15.000Z
ピーターの反応 【はめふら】 3話 乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった ep 3 アニメリアクション,EeuxkJJD9BY,2020-04-20T09:00:06.000Z
ピーターの反応 【かぐや様は告らせたい】2期 2話 Kaguya-sama ss 2 ep 2 アニメリアクション,LQLaApnZszU,2020-04-20T08:00:10.000Z
【FINAL FANTASY VII REMAKE】 #1 ピーターの実況 ファイナルファンタジー VII,kf3uKDWglio,2020-04-20T03:00:31.000Z
ファイナル的なファンタジー的なゲームやりたいな・・,-IYp4SHsXW8,2020-04-19T09:24:47.000Z
【海外の反応 アニメ】 ヨルムンガンド 2期 4話 Jormungand ep ss2 4 アニメリアクション,v-QZ9q7Ed9s,2020-04-19T06:00:26.000Z
【海外の反応 アニメ】 ロード エルメロイii 世の事件簿 3話 Lord El-Melloi ep 3 アニメリアクション,P9O7GiYOvog,2020-04-19T03:00:06.000Z
ピーターの反応 【かくしごと】 3話 Kakushigoto ep 3 アニメリアクション,bbam2JM0G9A,2020-04-19T00:00:07.000Z
ピーターの反応 【八男ってそれはないでしょう】 3話 8th son ep 3 アニメリアクション,OxctXS0waFo,2020-04-18T06:00:03.000Z
ピーターの反応 【富豪刑事】 2話 Fugo Keiji ep 2 アニメリアクション,ZyZ0qepLtCk,2020-04-18T03:00:09.000Z
【海外の反応 アニメ】 少女終末旅行 5話 Girls&#39; Last Tour ep 5 アニメリアクション,Mgi0fwVqOCQ,2020-04-18T00:00:08.000Z
ピーターの反応 【神之塔】 2話 Tower of God ep 2 アニメリアクション,H8IZ8bECzuI,2020-04-17T09:00:13.000Z
ピーターの反応 【BNA】 3話 アニメリアクション,_4224EjxSEE,2020-04-17T08:00:15.000Z
【バイオハザード RE:3】 Hardcore Z-版 #13 ピーターの実況,PDH0Pzh0R5Y,2020-04-17T03:00:15.000Z
【海外の反応 アニメ】 夏目友人帳 9話  Natsume Book of Friends 9 アニメリアクション,5TAHNJD5y4U,2020-04-16T09:00:02.000Z
